,Entity A,Entity B,PolBMA_Seco2004,PolBMA_Resnik1995,PolGIC_Resnik1995,PolGIC_Seco2004
1,O00512,Q9H0F7,0.2827819623302056,0.17016186077748685,0.3167687517038993,0.3147922332436985
2,O14653,P15311,0.37511500468409587,0.18617969673475693,0.2803975808694463,0.28046259703590687
3,O14713,P05556,0.4650657144989653,0.2878039369704967,0.01357711210970206,0.01754913756368649
4,O14745,O14745,0.8316747701924065,0.6221000770481998,0.37344191428505086,0.37926639497155457
5,O14745,P26038,0.4304024938041166,0.27717911141679685,0.31368440468492054,0.3144011123981854
6,O14745,Q9UQL6,0.2788737051935988,0.15971716103638411,0.005798707760928337,0.007694258330664131
7,O14974,Q13976,0.35596555662117924,0.18095950059224314,0.0017620877455815863,0.0030304568959793436
8,O15146,O75821,0.1979745167511239,0.1156088558401824,0.0007712292136286736,0.0012340296886032892
9,O15164,P17480,0.4205060597832724,0.22203708077936937,0.012453030830383457,0.016236912295601844
10,O15379,O60260,0.45793494846096844,0.28271916748756554,0.12161396773014448,0.14099567759480888
11,O15379,Q9H773,0.3155070690629516,0.15524962111348245,0.03249064802839732,0.04754704016982867
12,O15379,Q9UQL6,0.5029956861936514,0.3215698530507752,0.2192864239113383,0.23693160009652997
13,O15455,O15455,0.8410094251999249,0.6021512386602916,0.9939171609320931,0.9898241987588579
14,O15455,Q13547,0.3397637108152567,0.21741477136519288,0.008743764833524332,0.011318040649009566
15,O43432,O15379,0.296508723653634,0.1384152370796124,0.029455200283832892,0.0367030943872119
16,O43865,P24534,0.3299000825387101,0.1568004824076576,0.0019427675952740548,0.0033336648841798258
17,O60260,Q9BT88,0.4565498336103606,0.30052673230533145,0.018899181735131967,0.02342205787777141
18,O60563,P50750,0.5460284384496924,0.36523060080671665,0.2825383561433259,0.28877006798492594
19,O60673,P37173,0.24735227808176913,0.14876816442297142,0.30595654188856153,0.3035121178029308
20,O75150,Q09161,0.34205823173450733,0.20453907164731622,0.0068959276175469325,0.009824883713579759
21,O75367,O75381,0.37120695959910965,0.21238164946165633,0.31705245178772845,0.31724119485019575
22,O75665,P42224,0.2701511736659634,0.12780598263525783,0.0065732250712217345,0.009654571741661176
23,O75674,P06396,0.3820808833186896,0.1938594621324632,0.0065424352161491785,0.009438037429762297
24,O75695,Q99578,0.3541942379065981,0.16706195162188933,0.07545313346210099,0.10767534108010009
